Season,Month,Month_Number,Week,Month_Week_Label,Month_Week_Sort_Order,Cumulative_Flu_Doses_Distributed,Imputed_Value,Current_Through
2021-2022,October,4,2,October wk 2,42,128.6,false,02/25/2022 12:00:00 AM
2021-2022,October,4,3,October wk 3,43,139.7,false,02/25/2022 12:00:00 AM
2021-2022,October,4,4,October wk 4,44,150,false,02/25/2022 12:00:00 AM
2021-2022,November,5,1,November wk 1,51,158.7,false,02/25/2022 12:00:00 AM
2021-2022,November,5,2,November wk 2,52,162.5,false,02/25/2022 12:00:00 AM
2021-2022,November,5,3,November wk 3,53,165.2,false,02/25/2022 12:00:00 AM
2021-2022,November,5,4,November wk 4,54,167.2,false,02/25/2022 12:00:00 AM
2021-2022,December,6,1,December wk 1,61,167.8,false,02/25/2022 12:00:00 AM
2021-2022,December,6,2,December wk 2,62,169.1,false,02/25/2022 12:00:00 AM
2021-2022,December,6,3,December wk 3,63,170.2,false,02/25/2022 12:00:00 AM
2021-2022,December,6,4,December wk 4,64,172,false,02/25/2022 12:00:00 AM
2021-2022,January,7,1,January wk 1,71,172.6,false,02/25/2022 12:00:00 AM
2021-2022,January,7,2,January wk 2,72,172.8,false,02/25/2022 12:00:00 AM
2021-2022,January,7,3,January wk 3,73,173.3,false,02/25/2022 12:00:00 AM
2021-2022,January,7,4,January wk 4,74,173.8,false,02/25/2022 12:00:00 AM
2021-2022,February,8,1,February wk 1,81,174.1,false,02/25/2022 12:00:00 AM
2021-2022,February,8,2,February wk 2,82,174.3,false,02/25/2022 12:00:00 AM
2021-2022,February,8,3,February wk 3,83,174.5,false,02/25/2022 12:00:00 AM
2021-2022,February,8,4,February wk 4,84,174.7,false,02/25/2022 12:00:00 AM
